src,dst,dist
"v259","v1147",37
"v260","v1148",92
"v260","v1149",58
"v260","v1150",34
"v260","v1151",29
"v260","v1152",78
"v260","v1153",11
"v260","v1154",84
"v260","v1155",77
"v260","v1156",90
"v260","v1157",92
"v265","v266",35
"v265","v267",12
"v265","v268",5
"v265","v269",27
"v265","v270",92
"v265","v271",91
"v265","v272",23
"v265","v273",65
"v265","v274",91
"v265","v275",85
"v266","v276",14
"v266","v277",42
"v266","v278",28
"v266","v279",80
"v266","v280",85
"v266","v281",38
"v266","v282",71
"v266","v283",62
"v266","v284",82
"v266","v285",66
"v268","v111",3
"v268","v286",33
"v268","v287",33
"v268","v288",55
"v268","v289",60
"v268","v290",48
"v268","v291",78
"v268","v292",63
"v268","v293",11
"v268","v294",20
"v270","v295",51
"v270","v296",78
"v270","v297",42
"v270","v298",37
"v270","v299",21
"v270","v300",100
"v270","v301",13
"v270","v302",60
"v270","v303",57
"v270","v304",91
"v272","v305",53
"v272","v306",49
"v272","v307",15
"v272","v308",45
"v272","v309",19
"v272","v310",51
"v272","v311",2
"v272","v312",96
"v272","v313",22
"v272","v314",32
"v273","v315",2
"v273","v316",46
"v273","v317",62
"v273","v318",58
"v273","v319",11
"v273","v320",29
"v273","v321",6
"v273","v322",74
"v273","v323",38
"v273","v324",70
"v274","v325",97
"v274","v326",4
"v274","v327",22
"v274","v328",76
"v274","v329",19
"v274","v330",1
"v274","v331",90
"v274","v332",63
"v274","v333",55
"v276","v209",64
"v276","v2010",44
"v276","v2042",90
"v276","v2167",51
"v276","v4384",36
"v276","v4385",16
"v276","v4386",65
"v276","v4387",95
"v276","v4388",64
"v276","v4389",59
"v277","v75",53
"v277","v1077",93
"v277","v2295",17
"v277","v5294",15
"v277","v5928",21
"v277","v7513",61
"v277","v7514",51
"v277","v7515",69
"v277","v7516",42
"v277","v7517",48
"v278","v1105",97
"v278","v2839",88
"v278","v2841",2
"v278","v2860",35
"v278","v3220",29
"v278","v4280",72
"v278","v4283",49
"v278","v4285",76
"v278","v9123",54
"v278","v9124",72
"v279","v2624",30
"v279","v3763",94
"v279","v9134",20
"v279","v9135",72
"v279","v9136",21
"v279","v9137",65
"v279","v9138",80
"v279","v9139",31
"v279","v9140",11
"v280","v1252",81
"v280","v3985",14
"v280","v9141",43
"v280","v9142",39
"v280","v9143",83
"v280","v9144",45
"v280","v9145",29
"v280","v9146",94
"v280","v9147",76
"v280","v9148",81
"v281","v4356",1
"v281","v6822",97
"v281","v7820",48
"v281","v10894",71
"v281","v10955",88
"v281","v10956",44
"v281","v10957",34
"v281","v10958",53
"v281","v10959",62
"v281","v10960",25
"v282","v2665",1
"v282","v6359",81
"v282","v7316",79
"v282","v15577",58
"v282","v17660",24
"v282","v17661",99
"v282","v17662",15
"v282","v17663",46
"v282","v17664",63
"v283","v10771",10
"v283","v15375",11
"v283","v16072",50
"v283","v17665",19
"v283","v17666",91
"v283","v17667",56
"v283","v17668",44
"v283","v17669",56
"v283","v17670",86
"v283","v17671",35
"v285","v2701",76
"v285","v10055",22
"v285","v14263",52
"v285","v21998",27
"v285","v21999",52
"v285","v22000",60
"v285","v22001",84
"v285","v22002",15
"v285","v22003",38
"v285","v22004",80
"v289","v919",99
"v289","v2368",1
"v289","v2631",38
"v289","v3499",86
"v289","v6546",79
"v289","v6547",85
"v289","v6548",43
"v289","v6549",16
"v289","v6550",61
"v289","v6551",68
"v291","v768",41
"v291","v771",8
"v291","v1252",67
"v291","v6278",29
"v291","v6552",63
"v291","v6553",64
"v291","v6554",70
"v291","v6555",91
"v291","v6556",24
"v291","v6557",79
"v292","v1497",14
"v292","v1499",62
"v292","v2030",11
"v292","v2177",41
"v292","v3203",79
"v292","v3889",1
"v292","v6396",95
"v292","v6558",8
"v292","v6559",57
"v292","v6560",52
"v301","v9916",87
"v301","v17806",32
"v301","v19173",45
"v301","v19877",40
"v301","v19878",77
"v301","v19879",85
"v301","v19880",53
"v301","v19881",9
"v301","v19882",15
"v301","v19883",55
"v302","v7108",20
"v302","v9010",29
"v302","v11280",72
"v302","v17264",71
"v302","v17265",64
"v302","v19685",48
"v302","v19884",25
"v302","v19885",44
"v302","v19886",55
"v302","v19887",9
"v306","v735",82
"v306","v736",53
"v306","v2327",89
"v306","v2727",64
"v306","v3193",60
"v306","v5649",20
"v306","v8301",80
"v306","v9581",57
"v306","v9582",62
"v306","v9583",88
"v307","v407",54
"v307","v5728",100
"v307","v9819",89
"v307","v10381",45
"v307","v10382",81
"v307","v10383",67
"v307","v10384",84
"v307","v10385",75
"v307","v10386",37
"v310","v1776",10
"v310","v1985",68
"v310","v1988",35
"v310","v8979",40
"v310","v18926",85
"v310","v18927",52
"v310","v18928",50
"v310","v18929",67
"v310","v18930",68
"v310","v18931",11
"v315","v434",90
"v315","v920",28
"v315","v2482",74
"v315","v3971",82
"v315","v3972",96
"v315","v3973",37
"v315","v3974",75
"v315","v3975",36
"v315","v3976",32
"v316","v1004",73
"v316","v1040",29
"v316","v2952",99
"v316","v4819",71
"v316","v4820",88
"v316","v4821",98
"v316","v4822",90
"v316","v4823",47
"v316","v4824",91
"v316","v4825",12
"v318","v39",13
"v318","v341",64
"v318","v899",13
"v318","v3876",82
"v318","v3880",52
"v318","v6881",31
"v318","v6885",22
"v318","v7736",14
"v318","v7737",29
"v318","v15415",51
"v325","v1184",1
"v325","v2816",60
"v325","v6928",55
"v325","v19597",93
"v325","v22714",95
"v325","v22810",31
"v325","v25367",33
"v325","v25368",60
"v325","v25369",78
"v327","v11743",80
"v327","v14069",33
"v327","v17063",73
"v327","v36336",84
"v327","v36337",82
"v327","v36338",54
"v327","v36339",23
"v327","v36340",22
"v327","v36341",57
"v328","v19065",19
"v328","v19538",92
"v328","v29039",1
"v328","v39616",97
"v328","v47219",21
"v328","v47754",5
"v328","v47755",100
"v328","v47756",30
"v328","v47757",45
"v328","v47758",76
"v329","v11902",71
"v329","v49766",17
"v329","v49767",100
"v329","v49768",81
"v334","v335",19
"v334","v336",89
"v334","v337",53
"v334","v338",29
"v334","v339",1
"v334","v340",63
"v334","v341",41
"v334","v342",50
"v334","v343",86
"v334","v344",84
"v336","v345",16
"v336","v346",60
"v336","v347",79
"v336","v348",60
"v336","v349",62
"v336","v350",83
"v336","v351",49
"v336","v352",55
"v336","v353",41
"v336","v354",82
"v338","v167",71
"v338","v355",29
"v338","v356",52
"v338","v357",45
"v338","v358",70
"v338","v359",96
"v338","v360",70
"v338","v361",11
"v338","v362",73
"v338","v363",24
"v341","v364",26
"v341","v365",20
"v341","v366",51
"v341","v367",32
"v341","v368",44
"v341","v369",47
"v341","v370",70
"v341","v371",71
"v341","v372",95
"v341","v373",11
"v343","v374",93
"v343","v375",65
"v343","v376",25
"v343","v377",62
"v343","v378",20
"v343","v379",21
"v343","v380",63
"v343","v381",62
"v343","v382",26
"v343","v383",35
"v344","v384",50
"v344","v385",91
"v344","v386",23
"v344","v387",61
"v344","v388",94
"v344","v389",29
"v344","v390",23
"v344","v391",82
"v344","v392",67
"v355","v753",69
"v355","v847",24
"v355","v848",23
"v355","v849",40
"v355","v850",18
"v355","v851",94
"v355","v852",65
"v355","v853",79
"v355","v854",57
"v355","v855",72
"v356","v1264",42
"v356","v1265",56
"v356","v1266",37
"v356","v1267",90
"v356","v1268",29
"v356","v1269",21
"v356","v1270",3
"v356","v1271",13
"v356","v1272",17
"v356","v1273",48
"v358","v1274",47
"v358","v1275",52
"v358","v1276",73
"v358","v1277",12
"v358","v1278",24
"v358","v1279",37
"v358","v1280",6
"v358","v1281",8
"v358","v1282",34
"v359","v1283",67
"v359","v1284",54
"v359","v1285",13
"v359","v1286",26
"v359","v1287",41
"v359","v1288",54
"v359","v1289",58
"v359","v1290",34
"v359","v1291",96
"v359","v1292",40
"v360","v1293",52
"v360","v1294",59
"v360","v1295",95
"v360","v1296",61
"v360","v1297",39
"v360","v1298",30
"v360","v1299",76
"v360","v1300",99
"v360","v1301",93
"v360","v1302",34
"v362","v856",63
"v362","v1303",77
"v362","v1304",37
"v362","v1305",47
"v362","v1306",74
"v362","v1307",65
"v362","v1308",85
"v362","v1309",93
"v362","v1310",20
"v362","v1311",43
"v363","v734",29
"v363","v1210",60
"v363","v1312",63
"v363","v1313",46
"v363","v1314",17
"v363","v1315",28
"v363","v1316",73
"v363","v1317",49
"v363","v1318",1
"v363","v1319",71
"v364","v1149",99
"v364","v1572",93
"v364","v1573",46
"v364","v1574",29
"v364","v1575",1
"v364","v1576",44
"v364","v1577",93
"v364","v1578",64
"v364","v1579",84
"v364","v1580",73
"v364","v1581",2
"v364","v1582",10
"v364","v1583",22
"v364","v1584",87
"v364","v1585",14
"v364","v1586",70
"v364","v1587",32
"v364","v1588",58
"v364","v1589",20
"v364","v1590",87
"v364","v1591",57
"v366","v537",17
"v366","v540",55
"v366","v541",55
"v366","v547",15
"v366","v1194",16
"v366","v1195",38
"v366","v1196",67
"v366","v4658",98
"v366","v4659",78
"v366","v4660",61
"v367","v3407",13
"v367","v4366",92
"v367","v6210",32
"v367","v6211",75
"v367","v6212",64
"v367","v6213",78
"v367","v6214",25
"v367","v6215",85
"v367","v6216",34
"v367","v6217",51
"v368","v1807",28
"v368","v3308",100
"v368","v9895",30
"v368","v9896",10
"v368","v9897",45
"v368","v9898",65
"v368","v9899",52
"v368","v9900",13
"v368","v9901",80
"v368","v9902",35
"v369","v7216",8
"v369","v9449",84
"v369","v10894",1
"v369","v10895",60
"v369","v10896",11
"v369","v10897",54
"v369","v10898",92
"v369","v10899",22
"v369","v10900",26
"v369","v10901",54
"v373","v1073",30
"v373","v1077",97
"v373","v1117",54
"v373","v1635",62
"v373","v2117",59
"v373","v2498",92
"v373","v3270",64
"v373","v10726",21
"v373","v11308",69
"v373","v11309",88
"v374","v2167",27
"v374","v2168",73
"v374","v2169",20
"v374","v2170",42
"v374","v2171",5
"v374","v2172",52
"v374","v2173",93
"v374","v2174",46
"v374","v2175",71
"v374","v2176",75
"v375","v3258",63
"v375","v4901",77
"v375","v5202",18
"v375","v5203",27
"v375","v5204",14
"v375","v5205",45
"v375","v5206",72
"v375","v5207",80
"v375","v5208",36
"v375","v5209",30
"v376","v3400",89
"v376","v7775",49
"v376","v7776",79
"v376","v7777",18
"v376","v7778",24
"v376","v7779",39
"v376","v7780",9
"v376","v7781",30
"v377","v1907",27
"v377","v7532",69
"v377","v10865",7
"v377","v14049",100
"v377","v14050",56
"v377","v14051",30
"v377","v14052",77
"v377","v14053",89
"v377","v14054",97
"v377","v14055",20
"v378","v559",65
"v378","v1612",38
"v378","v3708",17
"v378","v7206",19
"v378","v8225",92
"v378","v8228",84
"v378","v8230",99
"v378","v17875",21
"v378","v21522",49
"v378","v21523",62
"v384","v7489",52
"v384","v8654",19
"v384","v8655",78
"v384","v8656",47
"v384","v8657",62
"v384","v8658",79
"v384","v8659",29
"v384","v8660",64
"v384","v8661",36
"v387","v54844",7
"v390","v61602",9
"v391","v9158",69
"v391","v16721",80
"v391","v31054",20
"v391","v40726",24
"v391","v40870",78
"v391","v47158",93
"v391","v52568",54
"v391","v60813",79
"v391","v61603",54
"v391","v61604",96
"v393","v394",72
"v393","v395",76
"v393","v396",5
"v393","v397",63
"v393","v398",33
"v393","v399",20
"v393","v400",32
"v393","v401",36
"v393","v402",69
"v393","v403",69
"v394","v404",11
"v394","v405",35
"v394","v406",71
"v394","v407",79
"v394","v408",66
"v394","v409",46
"v394","v410",80
"v394","v411",76
"v394","v412",28
"v395","v413",88
"v395","v414",64
"v395","v415",38
"v395","v416",67
"v395","v417",35
"v395","v418",84
"v395","v419",76
"v395","v420",85
"v395","v421",56
"v395","v422",57
"v399","v423",100
"v399","v424",65
"v399","v425",94
"v399","v426",87
"v399","v427",34
"v399","v428",25
"v399","v429",48
"v399","v430",95
"v399","v431",31
"v399","v432",68
"v402","v433",66
"v402","v434",11
"v402","v435",83
"v402","v436",6
"v402","v437",15
"v402","v438",53
"v402","v439",42
"v402","v440",86
"v402","v441",92
"v402","v442",7
"v403","v210",61
"v403","v443",61
"v403","v444",13
"v403","v445",4
"v403","v446",31
"v403","v447",86
"v403","v448",1
"v403","v449",86
"v403","v450",68
"v403","v451",85
"v404","v364",89
"v404","v1563",1
"v404","v1564",87
"v404","v1565",1
"v404","v1566",96
"v404","v1567",100
"v404","v1568",3
"v404","v1569",29
"v404","v1570",84
"v404","v1571",18
"v406","v2984",37
"v406","v2985",3
"v406","v2986",90
"v406","v2987",79
"v406","v2988",26
"v406","v2989",90
"v406","v2990",23
"v406","v2991",96
"v406","v2992",6
"v406","v2993",20
"v407","v2994",92
"v407","v2995",22
"v407","v2996",75
"v407","v2997",15
"v407","v2998",63
"v407","v2999",7
"v407","v3000",84
"v407","v3001",27
"v407","v3002",20
"v407","v3003",2
"v408","v3004",31
"v408","v3005",45
"v408","v3006",76
"v408","v3007",59
"v408","v3008",63
"v408","v3009",32
"v408","v3010",37
"v408","v3011",21
"v408","v3012",9
"v408","v3013",25
"v409","v685",48
"v409","v2167",9
"v409","v3014",12
"v409","v3015",98
"v409","v3016",1
"v409","v3017",15
"v409","v3018",97
"v409","v3019",100
"v409","v3020",46
"v409","v3021",34
"v410","v3022",63
"v410","v3023",40
"v410","v3024",55
"v410","v3025",22
"v410","v3026",87
"v410","v3027",37
"v410","v3028",11
"v410","v3029",63
"v410","v3030",74
"v410","v3031",94
"v411","v185",36
"v411","v315",89
"v411","v2251",72
"v411","v2367",39
"v411","v2368",22
"v411","v2747",92
"v411","v3032",14
"v411","v3033",61
"v411","v3034",58
"v411","v3035",93
"v412","v66",44
"v412","v3036",76
"v412","v3037",69
"v412","v3038",14
"v412","v3039",16
"v412","v3040",37
"v412","v3041",92
"v412","v3042",48
"v412","v3043",70
"v412","v3044",33
"v415","v5498",35
"v415","v6754",29
"v415","v15903",44
"v415","v15904",80
"v415","v15905",7
"v415","v15906",55
"v415","v15907",8
